"Varied parameter ","Value ","Core starts ","Core ends ","Duration ","Esquel depth ","Imilac depth "
,,"Myr ","Myr ","Myr ","km ","km "
"rp +10% ","275 km ",210,296,86,64,56
"rp −10% ","225 km ",146,204,58,66,58
"rc +10% ","138 km ",167,241,74,58,53
"rc −10% ","113 km ",185,252,67,70,61
"dreg +1 km ","9 km ",172,242,71,64,57
"dreg −1 km ","7 km ",165,236,70,64,57
"km +10% ","3.3 W m−1 K−1 ",157,221,64,68,60
"km −10% ","2.7 W m−1 K−1 ",189,268,78,61,54
"Cm +10%","901 J kg−1 K−1 ",180,252,72,61,54
"Cm −10%","737 J kg−1 K−1 ",163,232,69,67,60
"Ρm +10%","3675 kg m−3 ",180,252,72,61,54
"Ρm −10%","3007 kg m−3 ",163,232,69,67,60
"Cc +10%","935 J kg−1 K−1 ",179,248,70,63,57
"Cc −10%","765 J kg−1 K−1 ",164,236,71,65,58
"Ρc +10%","8580 kg m−3 ",179,248,70,63,57
"Ρc −10%","7020 kg m−3 ",164,236,71,65,58
"Tinit +10% ","1760 K ",202,272,70,59,53
"Tinit −10% ","1440 K ",135,208,72,70,63
"Tsurf +10% ","275 K ",174,246,72,61,55
"Tsurf −10% ","225 K ",169,238,69,67,60
"lc +10% ","2.97 × 105 J K−1 kg−1 ",172,249,77,64,57
"lc −10% ","2.43 × 105 J K−1 kg−1 ",172,236,64,64,57
"TL +10% ","1320 K ",137,202,65,64,57
"TL −10% ","1080 K ",209,288,79,64,57
